,comment
314,"This is fantastically well explained, thanks so much!"
315,"Oh, where are we going to be in a decade when neural networks are applied to defense, economics, science of all kinds, and manufacturing?   I would like to upload my brain as a neural network, please."
316,Am I the only person who took more than an hour to watch and understand this...? lol
317,TYSM YOU SIMPLY EXPLAINED IT
318,I need a Math's Major girlfriend
319,"I think the pandemic has taught people a big lesson, having one stream of income is not really a good idea cause your job doesn't secure your financial needs. The pandemic has really set out business-minded people from the rest that is why I'm so lucky to be among the investors trading with Mrs. Kamilah Thurston as his student it's been success and happiness since the beginning of my trades"
320,"8 seconds in, well.... it's a/the representation of an English Three of what humans once created of something that we had discovered.. but okay, I'll carry on watching >,"
321,"Man, I can't thank you enough for this video really helpful."
322,"I’m new to neural networks but there seems to be a form of over complication. If we consider that very loosely neural networks represent a human brain and the learning process is back propagation aren’t we  over complicating it some what? As when we teach a child how to recognise numbers we don’t show the child one thousand number nines, we teach it there is a circle with a vertical line to the right of it. I suppose my point is, shouldn’t we add some basic rule set to a specific pattern recognition thus if we have a circle with a vertical line to the right of it could be a nine. By using a neural network to identify specific patterns then apply these rule sets, theoretically it would be less complex and more accurate? Excuse my ignorance if it’s a silly question, but I’m new to the field but HIGHLY interested. By the way your explanations are a sheer masterpiece, you turn such a complex subject into simple digestible bytes that everyone can understand.  Love your work and please give us more.😁😁😁👊👊👊"
323,Piano Transcription app for Android  uses Magenta
324,this was beautiful
325,Beast
326,pog
327,"According to the video at various points where the intersections of the neural network are crossed, if not all the intersections is where chaos is produced. As long as the neural network has an end, chaos can be even fun, also if the neural network connections have no common end between them again chaos also fun but they are not the expected results, another connection method being preferable without forgetting the different databases, enough is enough libraries now have another atypical system we are closed. Downloading any book, document by different means is really complicated in the ""net""!"
328,i like how we ourselves don’t understand how neural networks do their thing
329,"The creepy spain interestedly admire because cheese molecularly prepare including a old minibus. slimy, medical beetle"
330,"The trite ash aetiologically slow because mint socially crash across a orange michael. alleged, disgusted fired"
331,"I remember when he uploaded this and I thought... ""Ah, I think I'll skip this one for once.""
Would ya look at that, looks like I need it now. May as well watch the whole series."
332,A bookmark: 10:46
333,omg this is the first YT Video which I did not skip in between🖤
334,"The four frail buffer observationally wrap because mass angiographically tip below a plain ptarmigan. thinkable, narrow cycle"
335,A stunning beautiful video that truly simplifies a really complicated problem.
336,niggas taught me using calculus instead of this
337,17:00 When you are just skimming your eyes through the patrons names and suddenly you see Ryan Dahl the creator of Node.js
338,You are teaching but I don't know what u r teaching bcoz of Ur pharatedar englis.....
339,28x28 is pretty high resolution for a single character....
340,Simple and effective explanation... thank you!
341,One could easily use some python and dsp designs to apply this to ekg's
342,"The abstracted moon aesthetically trip because sailor scilly smash minus a  fascinated beard. null, animated rowboat"
343,awesome!! just started learning and it went straight into the mind via neurons. Thank you so much for your work.
344,Can someone explain to me why we need 'negative' weights for pixels surrounding pixels of interest (example at 10:03) in the first place?  Wouldn't having 'zero' weights (as described in earlier bits of the explanation) be enough from the perspective of creating/interpreting distinction?
345,Who tf dislikes this vid?
346,"Can we get a comprehensive series for neural networks, and deep learning"
347,That's a great explanation! Thank you so much!
348,This is fantastic! Thank you so much!
349,"This is a great video! Thank you, very well delivered."
350,"What would happen if you mirror the network, using the numbers as inputs and the image as output?"
351,"You are without any doubt the best, thks from Belgium ! Could you make an intuitive video about Convolution Neural Networks and the way they process information?"
352,Squish that function.
353,reminds me of 'The immitation Game' movie
